Product_Reviews,Polarity,Type,State,Language
Maayos at kumpleto din nakarating ang order ko yung tempered naka balot pa sa karton kaya hindi nayupi thankyou sellerrr,,,,
Mabilis na ship super mura pa secured Yung item nya and Ang bilis den nadeliver will order again hehe thankyou seller and j&t,,,,
"Order Date: 07.08
Ship Date: 07.10
Delivery Date: 07.13
Items have good quality. Also received complete items. Thank You seller and Shopee.",,,,
The item is in good condition as it is arrived. The seller always updated me regarding the item. Will definitely recommended to buy again.,,,,
"Maganda 
Good Quality
Secure package
Affordable
All working
will order again
Kudos kay seller 
Keep it up!!!!!!!!!!!!!!",,,,
"Good job seller.. Good quality, nice packaging. Secure kc may bubble wrap at karton. Thank you seller, shopee, j&t at s mabait n rider.",,,,
"Maganda siya. Pangalawang  order ko na ito kay seller. At every time na mag-oorder ako, hindi ako nadidis-appoint dahil maganda talaga. Super affordable pa.",,,,
Excellent quality. Item shipped Immediately. Very affordable. Item is well-packed. Will surely order again. Highly reccomended.,,,,
SORRY HINDI KO NA PO NA-PICTURE YUNG ITEM.THANK YOU SELLER.. THANK YOU SHOPEE.. SUPER NICE NG ITEM AT MABILIS DIN ANG SHIPPING 😘😘 THANK YOU SELLER GODBLESS AND MORE SALES 😘😘,,,,
".ndje
Hnusnsisnusuusmsy.syys.s tsnsynysmwyywy",,,,
item secured with a fragile sticker on the packaging. this is not bad for 14 pesos worth of product. thank you sm for thiss,,,,
thank you po!!maganda po pero masakit sa mata pag nilagay na po akala ko po water lng kaya ganon pero thank u po...,,,,
I received my parcel earlier and I'm sad because I thought that this tempered glass is thick but I was wrong. Anyways thankyou seller for your effort. Godbless always❤️,,,,
Thank you po 😊,,,,
Thank you so much selleeeeer!!!!!! I am so happy with my purchaseeeee!!!!!!!   The item was shipped immediately!!! And it is well packaged,,,,
"Salamat at dumating na sya.. Sobrang na excite ang anak ko ng twagan ko sya na dumating na nga order nya, nasa duty kasi ako. Mamaya pag out ko ng duty ipaakabit na namin to.. Sana po tumagal.. Salamat sa sobrang bait na seller at sa very affordable na price nya.",,,,
Thankyouuu po maganda po yung item wala pong damage super secure din ng item talagang hindi sya masisira or what more buyers to come po,,,,
The item arrived immediately with no damages or issues. It was well packed with carton box. It fits the screen of the phone and now it looks new again. Thank you seller for quality product.,,,,
"Legit siya,very nice nung product, well packed and secured yung mga items.",,,,
"Love it!..  Thank you so much.. Kudos po sa inyong lahat.. Kay seller, kay shoppee at kay kuya sa jnt... 👏😊👍",,,,
"Nice! Sobrang ganda at safe ng product, di rin problema yung pag kabit sa kaniya kasi madali lang ilagay",,,,
"Well packed and delivered quickly, yun nga lang di sya fit dun sa phone ko.",,,,
Magaganda yung items may namali lang sa kulay ng charger green order ko yellow yung dumating pero overall goods naman.,,,,
Okey na okey po item. 3days  bago dumatin thanks seller.,,,,
"10/10
Super ganda ng quality hindi siya halatang mura
Fast delivery
At higit sa lahat ang bait din ni seller
Nag sesend ng pics before ship.",,,,
okay nmn sya maganda kaso nag bubles sya kunti kahit ganun pa man 5 star parin oorder parin po ako sa susunod kasi maganda po sya,,,,
"Kuddos sa shop nato. Diko na sana irarate. Pero want to thank this shop Kase kahit napakamura lang Ng product na binili ko, napaka safety paden Ng pagkakabalot.🥰 Thankyouuuuu seller😘",,,,
"𝚃𝚑𝚎 𝚒𝚝𝚎𝚖 𝚒𝚜 𝚟𝚎𝚛𝚢 𝚗𝚒𝚌𝚎, 𝙸 𝚕𝚘𝚟𝚎 𝚒𝚝 𝚟𝚎𝚛𝚢 𝚖𝚞𝚌𝚑. 𝙸𝚝 𝚒𝚜 𝚜𝚞𝚙𝚎𝚛 𝚊𝚏𝚏𝚘𝚛𝚍𝚊𝚋𝚕𝚎 𝚊𝚗𝚍 𝚢𝚎𝚝 𝚝𝚑𝚎 𝚚𝚞𝚊𝚕𝚒𝚝𝚢 𝚒𝚜 𝚊𝚖𝚊𝚣𝚒𝚗𝚐. 𝚆𝚘𝚞𝚕𝚍 𝚛𝚎𝚊𝚕𝚕𝚢 𝚛𝚎𝚌𝚘𝚖𝚖𝚎𝚗𝚍 𝚝𝚑𝚒𝚜 𝚜𝚑𝚘𝚙. 𝙰𝚕𝚕 𝚒𝚝𝚎𝚖𝚜 𝚊𝚛𝚎 𝚒𝚗 𝚐𝚘𝚘𝚍 𝚌𝚘𝚗𝚍𝚒𝚝𝚒𝚘𝚗.",,,,
"fast shipping
complete orders
securely wrapped
thank you
fast shipping
complete orders
securely wrapped
thank you
fast shipping
complete orders
securely wrapped
thank you
fast shipping
complete orders
securely wrapped
thank you",,,,
Ang bilis ideliver kakaorder ko lang nandito na agad. Ok naman well packed & tama yung item. Nagsend din muna si seller ng pic bago iship.,,,,
Thank you seller. Tama yung pieces na na.receive. Tsaka it's in good condition. D ko na na picture.an kasi kinuha agad ng kapatid ko. Thank you again. Sa uulitin.👍🏻,,,,
Ang ganda sulit na sulit kahit mura lang super ganda lodx mas matibay pa kesa sa relasyon nyo DATTEBAYO!,,,,
Mganda sya at mura pa👍👍dumating dn sya kaagad👍,,,,
"Nice product. Although there's no bubble wrap, but it's ok since it's sandwiched between cartons. The item has a slight scratch but it's not noticable naman. All-in-all I'm satisfied! Will order again next time^^",,,,
ouch pain pighati lumbay hinagpis kirot sakit pagtangis iyak lungkot siphayo dalamhati galit inis poot pangamba paghihirap pagkasira pagkamuhi,,,,
Ang bilis ko nakuha item ko ilang days palang nung order ako meron na agad😅 kaya 5 star ako thanks seller salamat shopee...,,,,
Items are complete. No damage naman kahit walang bubblewrap at karton lang ang pinakabalot. Mabilis din na ship out ng seller.,,,,
"wag ka sana magbabago, baguhin mo na yung pagiging topakin mowag ka sana magbabago, baguhin mo na yung pagiging topakin mowag ka sana magbabago, baguhin mo na yung pagiging topakin mowag ka sana magbabago, baguhin mo na yung pagiging topakin mowag ka sana magbabago, baguhin mo na yung pagiging topak",,,,
"sulit yung 11 pesos ko dito hehehehe medjo nag bubbles nga lang screen kasi mga pangatal sa pag lalagay,, thankyou seller!! 👍🏼",,,,
Gg,,,,
"I rate 5 star. 
So far so good po😊 nagrereply po si seller kaya nakita ko agad yung order ko bago iship, napakabait mopo ate JOY 😅 tsaka sa rider. Mabilis din po nakarating almost 3 days lang. Mairerecomend kopo tong shop nato. Di po kayo magsisisi 😊 Keep it up.!!",,,,
Dilang sya sakto,,,,
JUST RECEIVED MY ORDER! 🤗😍❤ THANK YOU SO MUCH! ❤❤❤ IT ARRIVED SAFE AND NO DAMAGE 🤗🤗🤗 BECAUSE ALSO IT IS WELL PACKED! 😍 THANK YOU FOR SENDING PICTURES BEFORE THEY PACK 👍 ALSO ITS IN GOOD CONDITION AND EXCELLENT QUALITY! ❤❤❤ I RECOMMEND THIS SHOP GUYS! ❤❤❤ THANK YOU SO MUCH AGAIN!,,,,
Gg,,,,
"Okay naman sya. Pero di ko pa ginamit. Excellent quality and very accomodating seller, nagsend ng pictures bago sya i ship.",,,,
"Ang ganda ganda parang ako lang hahaha charrr lang po, nakabit ko na sa cp ko at cp ng anak ko. Legit yun item matte talaga, di na palaging magdudumi screen ko kapag hinawakan ni bunso ko.",,,,
Maganda and it is my 2nd purchase .. sulit basta marunong ka maglagay ng ceramic kasi pag hindi dami alikabok pag matagal mo din syang nilagay at inexpose sa hangin,,,,
Thanks Po dumating na SA akin kahit matagal Po siya thank you Po talaga SA inyo pang resirba ko Lang Po ito thanks Po God bless you po,,,,
"Thank youuuuu, ang secured ng packaging and nagsend din si seller ng picture before iship out which is good talaga. Order ulit ako dito next time.",,,,
"Seller sent proof of shipment even he/she was not asked. 
Kudos for the initiative!
Items we’re packed appropriately and have “Fragile” sticker on it.
Items are as expected and of good quality with a cheaper price. 💯",,,,
complete orders! secured na secured din ang items kasi nilagyan ni seller ng mga karton sa loob at fully bubble wrapped. thank you seller and kay kuyang J&T rider!,,,,
"Super late review 😅 hindi dahil sa may issue sa order ko , busy lang sa school . .  hindi ako binigo ulit ni seller 😁😁 walang damage mga order ko , sobrang satisfied costumer here 😊🤗😇 napaka bait din ni seller , napaka accommodating 😇 thankyou and godbless sayo seller 😇 napaka legit ng shop",,,,
happy buyer kasi kumpletong dumating ang orders ko plus i appreciate yung send photos muna si seller before ship out. deserving for a 5 star rate!,,,,
Salamat sa pag chachat doon sa seller. 3days ko lang ata hinintay bago dumating. Wala nalang issue yung tempered glass at smooth din pag sinaswipe.,,,,
Thank you seller for sending me complete orders to come on and I will be happy to help you with your cp unit and I will be sure to order again next time to get a new one,,,,
"Excellent Quality
Very Accommodating Seller
Well Packaged Item
Item Shipped Immediately
Will order again
Thank youu",,,,
complete items at goods . nakabalot din sya sa karton kaya secured pa din sya 😁 good quality din at the same time . pang second order ko na to sa store na to . nag sesend ng picture befire iship,,,,
Medyo may gasgas minimum na minimum pero okay lang sakto sa price thank you seller,,,,
"i don't have pictures for proof how good the product is.  I already give it to my bb and he likes it so much!! thank u for this, tagal niyang inantay to actually HAJAHJAHA but then it was shipped immediately excited lang sya",,,,
"Dito kayo sa shop NATU, dikayo maqsisi.. Good quality and good attitude c seller",,,,
"MAGANDA AT MAAYOS, NAG FIT SA SCREEN UNLIKE NUNG UNA KONG BILI SA IBANG SHOP TAPOS ANG MAHAL PA HAHAHAHAHAHA. NICE AT NAKITA KO TONG SHOP NA TO NAKATIPID DIN KAMI AT MAAYOS YUNG ITEM. SALAMAT PO SELLER BAIT BAIT. SALAMT SHOPEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE",,,,
"The ZALORA Big Fashion Sale continues with BIG brands, deals, and the launch of Z-LIVE! As a Globe Prepaid customer, you can get 30% off + an extra 5% Cashback on your first order when you shop at zlrph.com/BFSPRE and use the code BFSPRE upon checkout. Data charges may apply.",,,,
Correct item for the correct phone unit. Plus nagsesend pa muna si seller ng picture before niya iship out. Salamat seller. Pang-ilang ulit ko na ‘to dito sa shop na ‘to.,,,,
bKSUSNZOXMXODLSLOSSB JXJXUUSGXUXBSJSJKjsisjsososuyxbsndnleosixjdususbdkdidjidbdishkxib🙂🤣🤟😘🤩🎉💐😚💐🤟😥😉😭😭💐😥😥💐💙🤣🤦💐💙🎉💙💐🤟🌪️😥🌪️,,,,
okayy syaaaaaa maganda hahaha sa phone ko hahahslsbxjdbshsbslanzhdowkabdhdlansbbdjakansbsbsnnsbshshshhshsbskaosnshsisnsbsiwokanshsoskwnwpqkalqlnsbdjsikebdhdheh,,,,
Ang bilis lang din dumating. Naka wrapped din ng maayos kaya safe ang items. 2 in-order ko pero hindi ako nabasagan kahit isa. 😊 Nag uupdate rin yung seller if tama ba ung unit na ipapadeliver nya. Kaya thank you so much seller. 😊,,,,
Salamattt shopeeeee sorryh na late ng pag rateeee nabusy kasiii perooo salamat pa din ahhhh kahit hindi nakaabot sa birthday present ni mister aus lang salamat ☺️☺️☺️❤️❤️💕💓 god bless sainyooo salamt kay kuya nag deliver at kay seller thank youu sooo muchh💓💓💕❤️❤️❤️☺️☺️❤️❤️❤️❤️💕💕💕💕,,,,
"✓Excellent quality
✓Very accommodating seller
✓Well-packaged
✓Item shipped immediately
✓Will order again
Thank you.",,,,
Excellent quality!!! 👌👌 Accomodating seller. Well packaged!! Item shipped immediately. Will order again.  Thank youu seller for only ₱16 I already have very good quality ceramic tempered glass. Thank you po.,,,,
d ko pa nailalagay Yung tempered pero mukhang ok nmn bilis din na ship at very accommodating si seller bilis din na deliver. 🥰🥰🥰🥰🥰,,,,
I did not expected na yung tempered na to aiy hindi pala talaga tempered dahil screen protector pala plastic lang sya tapos malabo pa pag naikabit na kaya pala ganun lang yung packaging,,,,
Mabilis dumating! Affordable for its quality! Super ayos ng packaging balot na balot sya mamsh! Madali lang din ikabit sa phone!!,,,,
"Thank you pooo!! Kakalagay ko lang ngayon, habang tulog si itay. gift ko para bukas, father's day 😊
Legit matte. Ganda tignan..
Salamat sa seller mabait, nagsend din ng pic bago ipadala. Salamat din sa courrier 3days lang nadeliver na. Tyty",,,,
Ang ganda ng mga item. Super mura lang nakuha at mabait din si seller nagsesend ng picture. Kudos po! God bless and stay safe.,,,,
Ang ganda di kayo magsisi naka 3 na nabagsak ang cp ko di pqrin basag uulit ako dito sa shop super legit,,,,
"2nd order to this shop. Super satisfied.
Maayos ung pagkakabalot sa product.
MAganda ung quality..
Oorder ulit ako sa susunod. Marami ng naka add to cart sakin. 😅😅",,,,
"Wealth, Fame, Power. The man who acquired everything in this world, the Pirate King, Gol D. Roger. The final words that were said at his execution, sent people to the seas. ""My wealth and treasures? If you want it, I'll let you have it. Look for it, I left all of it at that place!"". Men now, chasing",,,,
"Bitin yung ceramic at madali magasgas. May gasgas agad. Also the 9D protector, Not suitable for ip11. Sobrang bitin. Compared to my old protector. 9D din last protector ko.",,,,
Thank youuu po!!! 6.15 inorder then 6.23 po dunating medyo matagal okay po yung item at tama tsaka yung safe po yung item 😍😍😍😍😍,,,,
Slamat seller complete sia at very responsive si seller sa chats ko ....salamt at super ingat tlga si seller ang ganda at maayos ang packeging slamat po🤗🤗🤗🤗🌟🌟🌟🌟🌟😍😍😍😍😍😍,,,,
"Thank seller ..
Tama naman yung pinadala kaya salamat po...
Okay naman yung packaging... kahit cardboard lang sya.. 
Godbless po.
😊😄😀😁😉
😏😶😀😁😊😙😍😘😄
😙😉😊😀😄😍",,,,
"sorry not related ung pics and vid, pero masasabi ko lang ang ganda talaga ng quality, no doubt na top 1 ung shop nato. and also nagsend ng pic si seller before nya iship, kahit piso ko lang nabili ay iningatan pa din at maayos packaging",,,,
solid naofndichsnw di najwngnqic wjwjnfjwinsnf fivnwiq ciannaic wjwjf. iwnqixndnwiicj enwindidiwndngi naj. nakwkgmoqocnfnwodkck kcnwikxn k n,,,,
Got my order kaso ang problema nung nilalapat ko parang hindi pantay yung tempered sa phone kahit ano gawin. Ayun pakabit na lang ng bago,,,,
Recieved my order earlier than expected. Items are in good condition. Thank u seller.,,,,
Gusto ko po magpasalamat sayo seller super Legit po ang dami kong order ayan nalang napicturan . tama po lahat ng item . pangalawang order ko na po ito sa shop na po very responsive si seller sa chat . thank you next time po ulit 😍😍 sorry seller wala ng pic nakuha na kasi eh yan nalang natira 😁,,,,
"maganda quality, mabilis siyang na-deliver, maayos yung packaging, matte talaga siya, di nga lang napakita ng maayos yung instructions kung pano ilagay pero okay lang lolololol",,,,
"The item came early in two days time dleivered... The size is quite short over 2mm,  but the Seller is accommodating... He even reported that the parcel has been delivered... 😊😊😊",,,,
"organization’s ability to meet customers competitive quality level, quality reliability, and ﬂexibility. the emphasis on design for easier to put.",,,,
Complete orders. Magagamda yung items at nag send muna si seller ng pic bago i-ship. Thank you seller. Totally recommend this shop.,,,,
Akala ko tempered hndi pla.film lng pala.sana hndi mbsag lcd ko pag nbagsag pag ito gamit ko.mganda sya matte.good quality din.Thank you thank you thank you Thank you thank you thank you,,,,
"Maganda ung products at nag uupdate si seller.
Order na kayo dito. Masasatisfy kayo.
Hindi kayo magsisisi.
Uulit ulitin nio bumili dito 😊😊",,,,
"In good condition and complete sya, napakaayos ng pagkakapackaged kaya hindi naman nabasag. Will order again once it breaks again. Thank you seller.",,,,
I'M SO SATISFIED! MAY ISANG LINYANG GAS GAS SA IBABA PERO AYOS NAMAN NA SAKEN YON ANG SMOOTH NYA SA SCREEN BET NA BET KO MAGSCROLL AHHAHAHAA SALAMAT SELLER SANA KUNIN KANA NI LORD MWUAH😚,,,,
"Bago iship out nagpadala muna ng pictures si seller, ang ganda ng quality and superb as in. Napalitanq na agad tsaka nagamit <33",,,,
Okay naman lahat. May minimal imperfection lang tong isa pero okay na bka residue lang ng pangdikit or what. Mabilis ang shipping although natagalan lang sa part ng courier. It took 4 days to arrive. Salamat seller sa pagsend ng pic bago shipping at salamat din na tama ang dumating.,,,,
Salamat ang bilis dumating and ang mura pa kaso may bubbles nung ako nag kabit huhu d kasi sanay. Thank you sa seller d ko napicturan sorry.,,,,
Excellent quality very accommodating seller item shipped immediately Will order again napakaganda. Thank you very much,,,,
"Sobra ko syang nagustuhan ,nagustuhan din ng kapatid ko thank you seller👍👍😍😍..thank you shopee😍😍",,,,
Lahat ng product nila super duper sulit. Uulit ulitin ko pagbili. Sobrang laki ng natipid kong time at pera. Thank you seller.,,,,
The quality of the product is nice as well as the packaging. Fast delivery and very affordable price. Thank you so much seller 🥰,,,,
Hindi basagggg all goods responsive at mabait ang Sellerrr Maraming salamat,,,,
❤️,,,,
"Ka-TM! May FREE 100MB pang-Facebook valid for 1 day ang nag-aantay sa'yo. Pwede mo pa ito makuha kapag nag-load ka ng total of P50 bago mag 06/16/2021! Share-A-Load not included. Kung nakuha mo na ang iyong freebie, please disregard this message. REF#: DTWEL34",,,,
"Thank you seller, satisfied pinsan ko. Ngayon niya lng kasi nalaman tong ceramic na tempered glass 🤣 smooth daw, mas madali maglaro tsaka ang ganda tignan ᕙ(  • ‿ •  )ᕗ",,,,
thankyou seller super sealed maayos dumating sobrang smooth sa phone sobrang maganda sya sulitttttt sa presyo next time po ulitttttt,,,,
Dalawang ceramic A12 lng  order ko pero iba ung isa realme5i ung binigay  pero di bale  ok lng  binenta ko nlng sa kakilala ko ung realme 5i ceramic  kase diko din nmn magagamit mabilis sya dumating at maayos namn ang packing...Good job  seller  sana lng nwxtime pakitingnan mabuti ung mga unit.👍,,,,
"Nakabit na namin 😁 sobrang ganda , nagustuhan ni kuya ko😊😍 mura na legit pa , kaya oorder ulit ako dito sa shop na to para sakin at sa dalawa ko pang kapatid 😊😁 nagustuhan din kasi nila 😊 at walang damage yung parcel ko kaya salamat seller , sa susunod ulit na order ko sana wala din damage 😇",,,,
"Maganda cea ,wala ako masabi sana ganito lahat slamat shopee",,,,
Maganda siyaaa  ☺️ at sulit given its price ☺️ diko pa pero nakakabit hehehe but it actually suits to my real me 6i ☺️☺️ THANKYOUSOMUCH SELLER ☺️☺️☺️,,,,
Hajaolslskjwkpdplslskskskslkslalalslslslslmsmskskslslslsksmlslslslslslsllsls,,,,
Thank you po sa magandang product na ito. Worth it po sa price nya kaysa sa mga nabibili dito sa amin. Sobrang mahal na mabilis pang masira. Salamat shopee. Thank you seller.,,,,
Dumating ung item within 4days. Mas maganda sya kesa don sa tempered glass madaling mabasag. Thank you seller & shopee 😊,,,,
Thank you! Haha ako and the other side of the national national team and the other teams of the other national teams of the other league games in Mathematics that the league has to win over a season and when they have the one in their final assignment in Mathematics that will have a chance of the fi,,,,
SOBRANG GANDA NUNG ITEMS TSAKA SECURED TALAGA SIYA AMBILIS DIN NADELIVER☺️❤️ AND MABAIT YUNG SELLER NAGMEMESSAGE SIYA KAPAG TO RECEIVED NA YUNG ITEMS KAYA NAPAORDER ULIT TALAGA AKO SA SHOP NA TO,,,,
**yung wet and dry wipes naiwan sa loob**. Acvomodating si seller sobrang bait! Magnda ang item and well-packed. Wapamg bubble wrapp pero keri lang. Yung item natural na mabilis magasgasan kasi hinfi sya glass na tempered pero yung purpose nya as matte is super cooooool.,,,,
Jund 6 ko inirder june 12 dumating. Yung kay ate okay nalagay niya maayos. Akin puro bubbles etc tsaka hindi full screen. Mas maliit sa scren ko then may itim sa gilid that made my screen looks smaller. Si seller responsive since nag ask ako pic tas nag send siya. Okay yon.,,,,
Ang bilis dumatin pero mali ngalang yung apat na tempered glass na naibigay pero ok lang naman sana icheck ng mabuti kung tama ba yung mga items na idedeliver.,,,,
Thank you again seller!! 2nd purchase!! Hindi ako binigo hehehehehehe mabilis mag reply at tama yung items tapos bago ipack isesend sayo yung picture nf order mo with way bill. Till next time ulit !!!,,,,
"The item shipped in a good condition! It was very protected. It attached to my phone easily though there are a few flaws. Some of the edges are not fit. Overall, it was a pretty great product! Might wanna order again. Thank you, seller!",,,,
boba di nagbabasa HAHAHAHHAHA akala ko tempered glass. film lang pala ire pero okay lang hehe thank youuuu!!!!😔😔😔😔😔😔😔,,,,
napaka responsive ni seller . nag sesend din sya ng pic before ipaship . 5 star para sa store na to at sa j n t rider ☺️☺️ well recommended tong shop na to. di sayang pera nyo☺️,,,,
"Very well packaging! Maganda din quality nya. Mabilis lang dumating, nauna pa to sa ibang order ko. Will order again. Thank You!",,,,
Gs wfa wf ef ef wf wt wt et egnwtjwtbwt wt eg wf wtnwt wf sf wf wf wf wt wf wtneg et twnte nrnrbf d d r rmrb  t wrbwf wf wf tw wf wf wf wf,,,,
Sakto yung dating ng tempered binenta ko na cp ko. dun ko nalang sa buyer pinadikit haha. salamat shopee. sukat naman sa realme 3.,,,,
Well packed and no issue sobrang tagal lang magship no seller dinaig pa overseas shipping inabot ng 10 days bago makarating 3 attempt na si j&t di padin napapack ni seller will never order again thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks ,,,,
Super good quality ng product. Di kailangan mag-alala kasi sobrang secured nung items. Tapos affordable pa nung price kaya super happy naman.,,,,
"naka secure naman yung mga items , may carton and bubLe wrap ' di katuLad sa mga nagrerekLamo na nabasa ko. thanks seLLer nag sesend din ng pic. before ipa ship . thanks din kuyang deLivery",,,,
Walang damage or basag ni isa mga products na dumating sa akin. Mabilis yung delivery and i love the quality. Thank you so much po,,,,
Jsjjzjdkdidjjdosksndjrjidhdbejsieiiwiwowowiwwiiejdnebejdidijdjebebehudurhendjidiebdnjdidiejendjjdjdjs,,,,
💯💯💯,,,,
Napaka ganda bagay na bagay sa mga nag e ml pang laro talaga sya kaso pag maliwanag talaga medyo madilim  pero ok lang naman jsjshsbjsbsbsjsbsbjsvsjsnsbsjsbsjsbxjdndsbnsnsnsnsnssnsnnssnsnsnsnnssnsnsnsnnsnss thank you,,,,
"I'm happy to tell that I received the product complete. 


Ps. Diko na napicturan Kase itinabi ko na at pangregalo sya",,,,
Good quality,,,,
2nd time to order and I'm sooooo happy. Thankyouuu seller!!!!❤️❤️❤️❤️❤️❤️❤️❤️❤️🥳❤️,,,,
Salamat shopeeeee....jijijijijvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjvjv,,,,
"Maganda naman po yung quality, and very accommodating po ang seller. I'll order again next time😊",,,,
Maganda po yung item mabait yung seller kahit matagal naideliver pero sulit sya sa price love it!!!!!! ?????????????????????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!kkkkkkkkkkkjjjjjjjjjjjkkkkkkkkkk,,,,
Parcel was shipped earlier than expected. All items were in good condition. No damage and securely packed. Quality is excellent for its price. Thanks!,,,,
Thank you po seller already received my parcel.. Well packed po yung items makapal talaga yung karton na nabalot para sure na nd mababasag.. 👍🏻👍🏻👍🏻 nice seller..,,,,
Thankyou seller!!!! ❣️,,,,
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,,,,
👍🏼,,,,
"Good quality po... buti nalang tama ako ng shop na nabilhan.  thankyou pooo, kahit sa 1st order mali ung nadeliver pero ok napo ngayon😊 God bless💘",,,,
Kkkkkk,,,,
salamat po ulit...☺️☺️☺️excellent quality very accommodating seller well pack item shipped immediately will order again soon🥰🥰🥰,,,,
Kinabahan ako sa packaging. Pero tamang item ang narecieve ko.  3/5 ⭐ for the package. 5/5 sa item recieve. Next time po pa ayos nalang packaging po ninyo. Thanks btw ❤️,,,,
Ang bilis ang bilis bilis bilis dumating  parang kahapon lng naorder meron a agad agad thank u seller and thank u shoppeeeeeeeeeeee😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘❤❤❤❤❤❤❤❤❤❤❤❤❤❤worth it ang pagorder,,,,
Order received yesterday ☺️ It was complete. Well package and very secure. It's nice for a low price. We didn't use it yet. But still I give you a high rate 😘 Thank you so much for a smooth transaction. I ordered it on May 1 then arrived on May 6. God Bless seller ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,,,
Thankyou seller sa magagandang tempered!! I got it for only 19 pesos each. Tama lahat ng pinadala ni seller!! We will order again soon!! May bubbles lang onti kasi ako lang naglagay hahaha,,,,
Thank you seller. Second time ko ng umorder at ang bilis ng ship at delivery. Maganda at good quality for its price.,,,,
"Excellent Quality maganda yung tempered may butas sa cam di tulad ng nabili ko sa ibang shop
Excellent Quality maganda yung tempered may butas sa cam di tulad ng nabili ko sa ibang shop",,,,
Sobrang ganda po worth it sa price nya nakaka tuwa babait pa ni seller order nakayo dito dikayo mag sisise.😍🥰😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍..............,,,,
Fine,,,,
Goooooddddd no damaaaaaaaagggeeeeee saaaaaaffffeeeeeee... Alwayssss complete delivery mura pa... Legit seller. I will order again. ,,,,
Okay po syaa thankyouuuuuu pooooo❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ganda syaaa 2 time ko na umorder order na kayooooo mwuaaa lovelotss❤❤❤❤❤❤❤❤❤,,,,
Secured yung item kasi nakabalot siya ng karton nung dumating. Walang basag or crack. Tama din yung dumating pang realme 7 pro,,,,
Thank you thank you po 👍👍👍👍👍👍👍👍 bilis 3days lang👍👍👍👍 balot na balot ung item😅👍👍  excellent qualityyyyyyyyyyyyy😍😍❤️❤️❤️👍👍👍,,,,
The items arrived earlier than expected. It was securely packed and all items delivered were the correct ones i ordered. I will surely buy from this shop again.,,,,
THANK YOU KAY SELLER PATI NA DIN KAY KUYA NA NAG DELIVER OKAY YUNG PRODUCT AT MAGANDA SAFE NA SAFE  MABILIS DIN DUMATING☺️☺️ THANKS,,,,
Thank you seller for sending me complete orders to come on and I will be order again to get a new one for the next time and I noticed that the item was a good one,,,,
Goods,,,,
"Excellent quality
Well packaged 
Item shipped immediately
 Thanks Shoppee
 Thanks Seller
 Thanks for the Delivery Man 


God bless and more sales to come in your store",,,,
Upang araw lang dumating na sorry lata na ang ratings ko pero overall maganda Hindi damage Yung product Dalawa bibili ko pero isa nalang na pic ko kasi ginamit ko na.☺️☺️☺️☺️,,,,
"fast shipping, complete order, though mukhang hindi sya magtatagal i tried matte this time para maiba😅. complete parcel, mabilis lang dumating. though hindi sya naka bubble wrap, pero meron naman karton

update: it didnt work on me, nag bubbles lang sya sadly. sayang pera. di na uulit sa matte😥😥",,,,
"Received my order complete. First time ordering from this shop, ayos naman lahat. Walang sira at mabilis ang shipping.",,,,
Sobrang bilis dumating nakakatuwa.. sakto rin sya sa phone ko.. thanks seller.. sana magkaroon ng variant na ceramic na full ung walang boarder ..un lng po,,,,
Mgndang ang item well pack di lng ng agd nag inform si seller na ibang kulay pala napadal pero ayos lng naman problema dun,,,,
"Date ordered : May 15, 2021
Date received : May 20, 2021

What you see in the pic is what you get. Matte naman sya. Cheap but quality is okay. Nag bubbles lang kasi hindi ko naayos. Sinenter ko kasi, may hole sa may camera. Thank you so much. ",,,,
"Maganda kaso parang di safe.. parang plastik na makapal..
Nag bubbles sya kahit anong gawin ko😭😭
Diko alam marunong naman ako mag lagay bakit ganun😭😭😭

Pero maganda sya at mabait si seller .. at mura pa..

Baka di lang ako sanay nanibago sanay ako sa salamin😅",,,,
Salamat ang ganda thumbs up sa uulitin...🤣🤣🤣  5 star...🥰🥰🥰,,,,
The product itself does not fit my realme 6i though it said it is realme 6i but when i put it in some of the screen where being block. It does not fit.And also the kne that put it in is a professional at top of that it still has bubbles. also there is a dirt inside the tempered.What kind of scam😭😡,,,,
